ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,tipo
18571,area infantil,206,rejas,20.0,san blas - canillejas,operativo,449192.154,4477610.955,etrs89,40.44760231,-3.59914916,avenida,septima,58,28022.0,"av · avenida septima 58 post. , ascendiente 1: 20",20174883.0,2005-01-01,20184,ae21,16,infantil
18574,area infantil,206,rejas,20.0,san blas - canillejas,operativo,449308.324,4477619.807,etrs89,40.44768915,-3.59778001,avenida,septima,13,28022.0,"c · calle septima , ascendiente 1: 206 · rejas ,",31051332.0,2007-01-01,20187,ae21,13,infantil
18576,area infantil,206,rejas,20.0,san blas - canillejas,operativo,449371.73,4477736.99,etrs89,40.44874867,-3.59704167,avenida,sexta,6,28022.0,"c · calle seis , ascendiente 1: 206 · rejas , asc",31010276.0,2007-01-01,20189,ae21,10,infantil
18578,area infantil,205,rosas,20.0,san blas - canillejas,operativo,448392.064,4476274.156,etrs89,40.43551033,-3.60847509,calle,la iliada,4,28022.0,"c · calle iliada 25 , ascendiente 1: 207 · canill",31050830.0,2008-01-01,20192,ae21,6,infantil
18580,area infantil,207,canillejas,20.0,san blas - canillejas,operativo,448250.261,4476658.299,etrs89,40.43896212,-3.61017819,calle,lucano,31,28022.0,"c · calle lucano 29 , ascendiente 1: 207 · canill",11137655.0,2006-01-01,20194,ae21,19,infantil
18582,area infantil,206,rejas,20.0,san blas - canillejas,operativo,450698.139,4477045.205,etrs89,40.44259635,-3.58134687,calle,navaridas,11,28022.0,"pq · parque arroyo de la reja 1 , ascendiente 1:",20090546.0,2009-01-01,20197,ae21,16,infantil
18584,area infantil,205,rosas,20.0,san blas - canillejas,operativo,448845.947,4474935.713,etrs89,40.42348083,-3.60301623,paseo,ginebra,20,28022.0,"pº · paseo ginebra , ascendiente 1: 205 · las ros",31049541.0,2011-01-01,20199,ae21,8,infantil
18586,area infantil,204,arcos,20.0,san blas - canillejas,operativo,447491.21,4474609.51,etrs89,40.4204578,-3.61895838,avenida,guadalajara,45,28032.0,"av · avenida guadalajara 55 , ascendiente 1: 204",31026295.0,2001-01-04,20201,ae21,7,infantil
18588,area infantil,205,rosas,20.0,san blas - canillejas,operativo,448216.802,4475261.042,etrs89,40.42637268,-3.61045884,avenida,canillejas a vicalvaro,135,28022.0,"ctra · carretera canillejas a vicalvaro 135 , asc",20145332.0,1998-01-01,20203,ae21,4,infantil
18590,area infantil,214,timon,21.0,barajas,operativo,450337.01,4480420.871,etrs89,40.47298494,-3.58586904,calle,gran poder,24,28042.0,"c · calle gran poder , ascendiente 1: 214 · timon",20149597.0,2004-01-01,21002,ae21,13,infantil
18592,area infantil,214,timon,21.0,barajas,operativo,450583.77,4480560.647,etrs89,40.47425884,-3.58296907,calle,arroyomolino,10,28042.0,"c · calle arroyomolino 10 , ascendiente 1: 214 ·",11141322.0,1998-01-01,21004,ae21,8,infantil
18594,area infantil,214,timon,21.0,barajas,operativo,450490.835,4480415.524,etrs89,40.47294595,-3.58405406,calle,timon,24,28042.0,"c · calle timon , ascendiente 1: 214 · timon , as",20094998.0,2008-01-01,21006,ae21,18,infantil
18597,area infantil,213,casco historico de barajas,21.0,barajas,operativo,450967.221,4480748.641,etrs89,40.47597513,-3.57846021,calle,los pilares,23,28042.0,"pza · plaza pilares 21 , ascendiente 1: 213 · cas",11140721.0,2009-01-01,21010,ae21,14,infantil
18599,area infantil,214,timon,21.0,barajas,operativo,450320.897,4480264.55,etrs89,40.47157574,-3.58604687,plaza,nuestra señora de loreto,3,28042.0,"pza · plaza nuestra señora de loreto , ascendient",11141772.0,2005-01-01,21012,ae21,14,infantil
18601,area infantil,214,timon,21.0,barajas,operativo,450334.312,4480555.95,etrs89,40.47420165,-3.58591144,calle,playa america,26,28042.0,"c · calle gran poder , ascendiente 1: 214 · timon",20128533.0,2006-01-01,21014,ae21,8,infantil
18605,area infantil,215,corralejos,21.0,barajas,operativo,449732.718,4479785.565,etrs89,40.46722538,-3.59294711,calle,bahia de santa pola,56,28042.0,"c · calle bahia de santa pola , ascendiente 1: 21",20148724.0,2006-01-01,21019,ae21,16,infantil
18607,area infantil,215,corralejos,21.0,barajas,operativo,449701.876,4479838.325,etrs89,40.4676988,-3.59331508,calle,bahia de santa pola,68,28042.0,"c · calle bahia de santa pola , ascendiente 1: 21",20143672.0,2006-01-01,21020,ae21,18,infantil
18609,area infantil,215,corralejos,21.0,barajas,operativo,449861.786,4479412.423,etrs89,40.46387169,-3.59139523,calle,bande,16,28042.0,"ba · bahia almeria , ascendiente 1: 215 · corrale",31037713.0,2006-01-01,21022,ae21,10,infantil
18611,area infantil,215,corralejos,21.0,barajas,operativo,449636.717,4479104.149,etrs89,40.46108096,-3.59402539,calle,bahia de cadiz,7,28042.0,"av · avenida logroño , ascendiente 1: 215 · corra",20149965.0,2004-01-01,21024,ae21,13,infantil
